surrogate_key,natural_key,sku,product_name,price,brand,material,shape,dimension,origin,quantity_available,product_url,id_config,dt_extract,dt_load,dt_load_to_dw,dt_last_update,dt_dim
404,MINIMA M7 2001/F939-M7 2001/F939,M7 2001/F939,MINIMA M7 2001/F939,6180000,MINIMA,Titanium,Chữ nhật,54-19-148,Pháp,11,https://kinhmatviettin.vn/products/minima-m7-2001f939,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
414,MINIMA M7 7902/F939-M7 7902/F939,M7 7902/F939,MINIMA M7 7902/F939,55555,MINIMA,Titanium,Chữ nhật,54-19-148,Pháp,13,https://kinhmatviettin.vn/products/minima-m7-7902f939,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
415,MINIMA M7 2201/F961-M7 2201/F961,M7 2201/F961,MINIMA M7 2201/F961,111111,MINIMA,Titanium,Phi công,52-18-148,Pháp,13,https://kinhmatviettin.vn/products/minima-m7-2201f961,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
310,SWAROVSKI SK2010F-SK2010F 54 3001,SK2010F 54 3001,SWAROVSKI SK2010F,5740000,SWAROVSKI,Kim loại /Nhựa,Mắt mèo,54-16-140,Ý,8,https://kinhmatviettin.vn/products/swarovski-sk2010f-54-3001,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
311,SWAROVSKI SK1007-SK1007 55 4014,SK1007 55 4014,SWAROVSKI SK1007,4540000,SWAROVSKI,Kim loại,Mắt mèo,55-18-140,Ý,5,https://kinhmatviettin.vn/products/swarovski-sk1007-55-4014,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
317,TUMI VTU034J-VTU034J 54,VTU034J 54,TUMI VTU034J,5600000,TUMI,Titanium,Chữ nhật,54-17-145,Nhật,4,https://kinhmatviettin.vn/products/tumi-vtu034j-54-col0530,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
318,TUMI VTU024-VTU024 56,VTU024 56,TUMI VTU024,4500000,BVLGARI,Titanium,Chữ nhật,56-17-145,Nhật,2,https://kinhmatviettin.vn/products/tumi-vtu024-56-col0531,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
319,RAYBAN RB7168D-RB7168D 55 2012,RB7168D 55 2012,RAYBAN RB7168D,2660000,RAYBAN,Nhựa/ kim loại,Chữ nhật,55-18-145,Trung,6,https://kinhmatviettin.vn/products/rayban-rb7168d-55-2012-1,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
320,RAYBAN RB5421F-RB5421F 55 8268,RB5421F 55 8268,RAYBAN RB5421F,4860000,RAYBAN,Nhựa/ kim loại,Chữ nhật,55-19-145,Trung,8,https://kinhmatviettin.vn/products/rayban-rb5421f-55-8268,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
321,RAYBAN RB3717V-RB3717V 57 3086/2509,RB3717V 57 3086/2509,RAYBAN RB3717V,4740000,RAYBAN,Nhựa/ kim loại,Chữ nhật,57-18-145,Trung,8,https://kinhmatviettin.vn/products/rayban-rb3717v-57-3086,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
322,RAY BAN RB8908-RB8908 55 2000 / 5196,RB8908 55 2000 / 5196,RAY BAN RB8908,5860000,RAYBAN,Nhựa/ kim loại,Chữ nhật,55-18-145,Trung,17,https://kinhmatviettin.vn/products/ray-ban-rb8908-55-2000,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
323,RAY BAN RB8905-RB8905 55 5843 /5845,RB8905 55 5843 /5845,RAY BAN RB8905,5860000,RAYBAN,Nhựa/ kim loại,Vuông,55-18-145,Trung,9,https://kinhmatviettin.vn/products/ray-ban-rb8905-55-5843,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
312,TOMMY HILFIGER TH1901-TH1901 807,TH1901 807,TOMMY HILFIGER TH1901,4480000,TOMMY HILIFGER,Nhựa/ kim loại,Chữ nhật,52-19-150,Trung,5,https://kinhmatviettin.vn/products/tommy-hilfiger-th1901-807,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
315,TOMMY HILFIGER TH1881-TH1881,TH1881,TOMMY HILFIGER TH1881,4980000,TOMMY HILIFGER,Nhựa/ kim loại,Mắt mèo,53-17-140,Trung,6,https://kinhmatviettin.vn/products/tommy-hilfiger-th1881-807,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
405,MINIMA M7C 2001/F961-M7C 2001/F961,M7C 2001/F961,MINIMA M7C 2001/F961,6880000,MINIMA,Titanium,Phi công,52-18-148,Pháp,12,https://kinhmatviettin.vn/products/minima-m7c-2001f961-1,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
406,MINIMA M7C 1802/F939-M7C 1802/F939,M7C 1802/F939,MINIMA M7C 1802/F939,6880000,MINIMA,Titanium,Chữ nhật,54-19-148,Pháp,7,https://kinhmatviettin.vn/products/minima-m7c-1802f939,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
387,GERARD VUILLET LEGEND C 57-C 57 COL30,C 57 COL30,GERARD VUILLET LEGEND C 57,20680000,GERARD VUILLET,Mạ vàng,Chữ nhật,57-19-140,Pháp,11,https://kinhmatviettin.vn/products/gerard-vuillet-legend-c-57-col30,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
388,GERARD VUILLET LEGEND C 54-C 54 COL30,C 54 COL30,GERARD VUILLET LEGEND C 54,20680000,GERARD VUILLET,Mạ vàng,Chữ nhật,54-18-140,Pháp,9,https://kinhmatviettin.vn/products/gerard-vuillet-legend-c-54-col30,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
389,POLICE SYNTH 3 VPLB48-3 VPLB48 55 COL.0Z42,3 VPLB48 55 COL.0Z42,POLICE SYNTH 3 VPLB48,2600000,POLICE,Nhựa,Chữ nhật,55-16-145,Trung,1,https://kinhmatviettin.vn/products/police-synth-3-vplb48-55-col0z42,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
390,MINIMA MH1 AXS634-MH1 AXS634/C29,MH1 AXS634/C29,MINIMA MH1 AXS634,8980000,MINIMA,Titanium,Chữ nhật,48-19-148,Pháp,5,https://kinhmatviettin.vn/products/minima-mh1-axs634c29,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
391,MINIMA MH1 AXS623A-MH1 AXS623A/C23,MH1 AXS623A/C23,MINIMA MH1 AXS623A,8980000,MINIMA,Titanium/Nhựa,Oval,49-19-148,Pháp,2,https://kinhmatviettin.vn/products/minima-mh1-axs623ac23,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
392,MINIMA M511C F954-M511C F954,M511C F954,MINIMA M511C F954,9280000,MINIMA,Titanium,Chữ nhật,54-18-144,Pháp,23,https://kinhmatviettin.vn/products/minima-m511c-o2f954,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
393,MINIMA M511 F954-M511 F954,M511 F954,MINIMA M511 F954,8980000,MINIMA,Titanium,Chữ nhật,54-18-144,Pháp,7,https://kinhmatviettin.vn/products/minima-m511-tp5f954,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
394,MINIMA M72C F996-M72C F996,M72C F996,MINIMA M72C F996,9680000,MINIMA,Titanium,Chữ nhật,55-19-144,Pháp,7,https://kinhmatviettin.vn/products/minima-m72c-o74f996,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
395,MINIMA M72 F996-M72 F996,M72 F996,MINIMA M72 F996,9680000,MINIMA,Titanium,Chữ nhật,55-18-144,Pháp,7,https://kinhmatviettin.vn/products/minima-m72-t63f996,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
396,MINIMA M70C O76/F968-M70C O76/F968,M70C O76/F968,MINIMA M70C O76/F968,9680000,MINIMA,Titanium,Đa giác,53-19-139,Pháp,5,https://kinhmatviettin.vn/products/minima-m70c-o76f968,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
397,MINIMA M67C T63/F987-M67C T63/F987,M67C T63/F987,MINIMA M67C T63/F987,9980000,MINIMA,Titanium,Vuông,52-19-139,Pháp,5,https://kinhmatviettin.vn/products/minima-m67c-t63f987,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
