sku,product_name,price,brand,material,shape,dimension,origin,quantity_available,product_url
40009 55 F010,ZEISS ZS 40009,4600000 ,ZEISS,Titanium,Chữ nhật,55-18-140,Trung,1,https://kinhmatviettin.vn/products/zeiss-zs-40009-55-f010
VCHL46J 55 0300,CHOPARD VCHL46J,21800000 ,CHOPARD,Mạ vàng,Chữ nhật,55-18-145,Trung,5,https://kinhmatviettin.vn/products/chopard-vchl46j-55-0300
VCHG43J 58 COL.0594,CHOPARD VCHG43J,18900000 ,CHOPARD,Mạ vàng,Chữ nhật,58-16-145,Trung,8,https://kinhmatviettin.vn/products/chopard-vchg43j-58-col0594
VCHG92J 55 COL.0100,CHOPARD SOLIDGOLD 18K VCHG92J,180000000 ,CHOPARD,Vàng 18k nguyên khối,Chữ nhật,55-18-145,Trung,1,https://kinhmatviettin.vn/products/chopard-solidgold-18k-vchg92j-55-col0100
TF3421 54 1M,LEE COOPER TF3421,3240000 ,LEECOOPER,Nhựa /Titanium,Chữ nhật,54-18-145,Trung,2,https://kinhmatviettin.vn/products/lee-cooper-tf3421-54-1m
TF3264 53 1M. 1M/2L,LEE COOPER TF3264,3180000 ,LEECOOPER,Nhựa /Titanium,Vuông,53-19-145,Trung,3,https://kinhmatviettin.vn/products/lee-cooper-tf3264-1m
TF3262 53 1,LEE COOPER TF3262,3180000 ,LEECOOPER,Nhựa /Titanium,Chữ nhật,53-18-145,Trung,14,https://kinhmatviettin.vn/products/lee-cooper-tf3262-53-1
VPLN17 54 0700,POLICE VPLN17,3700000 ,POLICE,Nhựa / Titanium,Chữ nhật,54-17-145,Trung,5,https://kinhmatviettin.vn/products/police-vpln17-54-0700
VPLF80 0700,POLICE VPLF80,4200000 ,POLICE,Nhựa/ Titanium,Chữ nhật,55-17-145,Trung,4,https://kinhmatviettin.vn/products/police-vplf80-0700
VPLF24J 53 0302,POLICE VPLF24J,4100000 ,POLICE,Nhựa/Titanium,Chữ nhật,53-19-145,Trung,6,https://kinhmatviettin.vn/products/police-vplf24j-53-0302
VPLE32J 0S15,POLICE VPLE32J,3900000 ,POLICE,Titanium,Chữ nhật,53-18-145,Trung,4,https://kinhmatviettin.vn/products/police-vple32j-0s15
VPLD11 0700,POLICE VPLD11,4100000 ,POLICE,Nhựa / Titanium,Vuông,55-18-145,Trung,8,https://kinhmatviettin.vn/products/police-vpld11-0700
VPLD05 0V30,POLICE VPLD05,3900000 ,POLICE,Nhựa /Titanium,Vuông,55-18-145,Trung,5,https://kinhmatviettin.vn/products/police-vpld05-0v30
18KT VCHG19J 0100,CHOPARD SOLIDGOLD 18KT VCHG19J 0100,185000000 ,CHOPARD,Mạ vàng,Chữ nhật,55-17-145,Nhật,2,https://kinhmatviettin.vn/products/chopard-solidgold-18kt-vchg19j-0100
GOLD 18 K  P8181_A,PORSCHE DESINGN GOLD 18K P8181_A,230000000 ,PORSCHE DESIGN,Gold 18k/ PT 900 Platinum,Chữ nhật,56-15-145,Nhật,7,https://kinhmatviettin.vn/products/porsche-desingn-gold-18-k-p8181-a
HAMPTONP COL30,GERARD VUILLET HAMPTONP COL30,20680000 ,GERARD VUILLET,Mạ vàng,Chữ nhật,54-21,Pháp,10,https://kinhmatviettin.vn/products/gerard-vuillet-hamptonp-col30
CLUBP COL30,GERARD VUILLET CLUBP COL30,19680000 ,GERARD VUILLET,Mạ vàng,Chữ nhật,53-21,Pháp,7,https://kinhmatviettin.vn/products/gerard-vuillet-clubp-col30
